Channel Id,Channel Url,Channel Title
UCJ0kahbGTnqv1qUFi8jGumw,http://www.youtube.com/channel/UCJ0kahbGTnqv1qUFi8jGumw,BC Productions
UCJ24N4O0bP7LGLBDvye7oCA,http://www.youtube.com/channel/UCJ24N4O0bP7LGLBDvye7oCA,Matt D'Avella
UCJ2SN2gN1dmrFBEo6TWIzOw,http://www.youtube.com/channel/UCJ2SN2gN1dmrFBEo6TWIzOw,Debunk the Funk with Dr. Wilson
UCJDIGW0ywWw9Kh9_vtwqxXA,http://www.youtube.com/channel/UCJDIGW0ywWw9Kh9_vtwqxXA,William Spaniel
UCJLKwTg0IaSMoq6hLHT3CAA,http://www.youtube.com/channel/UCJLKwTg0IaSMoq6hLHT3CAA,Ordinary Sausage
UCJLZe_NoiG0hT7QCX_9vmqw,http://www.youtube.com/channel/UCJLZe_NoiG0hT7QCX_9vmqw,I did a thing
UCJOh5FKisc0hUlEeWFBlD-w,http://www.youtube.com/channel/UCJOh5FKisc0hUlEeWFBlD-w,jan Misali
UCJRLyQRpRQCJTRoV7oB2eHA,http://www.youtube.com/channel/UCJRLyQRpRQCJTRoV7oB2eHA,ColourShedProductions
UCJZV6sai-juDs4zAbAMVhfA,http://www.youtube.com/channel/UCJZV6sai-juDs4zAbAMVhfA,Eco Gecko
UCJ_2hNMxOzNjviJBiLWHMqg,http://www.youtube.com/channel/UCJ_2hNMxOzNjviJBiLWHMqg,DamiLee
UCJcWDNh9E6AoVW4nsMXyVCw,http://www.youtube.com/channel/UCJcWDNh9E6AoVW4nsMXyVCw,Molly White
UCJf75w2HR16-MrqcG3xdHyQ,http://www.youtube.com/channel/UCJf75w2HR16-MrqcG3xdHyQ,Echo Of Truth
UCJfJWct8jN1RpCuVWk3zHTA,http://www.youtube.com/channel/UCJfJWct8jN1RpCuVWk3zHTA,Daryl Talks Games
UCJmkopWuQxI9U0NQaOcl68Q,http://www.youtube.com/channel/UCJmkopWuQxI9U0NQaOcl68Q,Josh Cahill
UCK2Dxvy9H1NojirvaxnEnqw,http://www.youtube.com/channel/UCK2Dxvy9H1NojirvaxnEnqw,Terra Mater
UCKGMrHJRXyM_WmPKS-lvE2A,http://www.youtube.com/channel/UCKGMrHJRXyM_WmPKS-lvE2A,Casey Aonso
UCKGe7fZ_S788Jaspxg-_5Sg,http://www.youtube.com/channel/UCKGe7fZ_S788Jaspxg-_5Sg,The PC Security Channel
UCKH_iLhhkTyt8Dk4dmeCQ9w,http://www.youtube.com/channel/UCKH_iLhhkTyt8Dk4dmeCQ9w,Illinois EnergyProf
UCKOvOaJv4GK-oDqx-sj7VVg,http://www.youtube.com/channel/UCKOvOaJv4GK-oDqx-sj7VVg,Chubbyemu
UCKS-DNHu6BYk9fxH-jCdV_g,http://www.youtube.com/channel/UCKS-DNHu6BYk9fxH-jCdV_g,Mini Air Crash Investigation
